gene,SJ_M9,SJ_M10,SJ_M7,SJ_M8
ENSMUSG00000001225,0.0,0.0,0.0,0.0
ENSMUSG00000001227,8.170082,4.126333,4.314843,5.6730350000000005
ENSMUSG00000001228,32.554428,24.064242,54.023369,51.02277899999999
ENSMUSG00000001229,20.679109,15.953421,36.398064000000005,33.533333000000006
ENSMUSG00000001240,13.529711,21.71676,33.08183199999999,29.730967
ENSMUSG00000001247,11.380621,7.020151,1.029479,1.00593
ENSMUSG00000001248,22.329373,17.918719999999997,69.342115,71.97355400000002
ENSMUSG00000001249,1.368875,0.118345,0.997784,2.05389
ENSMUSG00000001260,0.0,0.0,0.0,0.0
ENSMUSG00000001270,54.343478000000005,39.886562000000005,7.723854999999999,6.952388
ENSMUSG00000001280,16.398408,10.996575,27.974395,25.886859
ENSMUSG00000001281,23.261794,17.039709,14.501172,10.72061
ENSMUSG00000001285,37.59204,44.497816,89.73398900000001,76.88363
ENSMUSG00000001288,40.79154200000001,32.396297,78.81828399999999,77.63279399999999
ENSMUSG00000001289,254.907533,201.39724300000003,229.719838,202.154734
ENSMUSG00000001300,5.480908,5.127901,33.923599,34.549332
ENSMUSG00000001305,35.456168,27.881803,49.727923,39.663855
ENSMUSG00000001313,6.6199900000000005,4.22051,19.481526,19.252384000000003
ENSMUSG00000001323,7.167381,4.756151,24.696986000000003,26.279887
ENSMUSG00000001333,0.195875,0.0,0.675665,0.370226
ENSMUSG00000001334,0.0,0.296118,0.025483,0.055922
ENSMUSG00000001348,111.72241300000002,71.19604,21.716537,15.755496999999998
ENSMUSG00000001349,0.875252,0.488302,1.441364,1.002848
ENSMUSG00000001366,8.080537999999999,8.123301,27.967304,27.279936000000003
ENSMUSG00000001376,20.835011,24.907827,30.613911,35.43131600000001
ENSMUSG00000001380,61.271465,76.777536,90.295036,68.088242
ENSMUSG00000001383,68.241261,54.678838,56.304707,44.743623
ENSMUSG00000001403,123.275128,77.86212,95.900852,69.56158099999999
ENSMUSG00000001415,25.870931,19.845441,88.981306,87.324899
ENSMUSG00000001416,179.768446,139.83384800000002,240.505311,185.53871
ENSMUSG00000001418,328.93054900000004,177.0207,234.949972,214.126834
ENSMUSG00000001419,48.674358,34.770579,80.779595,74.126746
ENSMUSG00000001420,0.94155,0.240256,0.93288,1.695654
ENSMUSG00000001424,66.390795,64.420245,91.055277,74.33118699999999
ENSMUSG00000001435,8.217365,6.17264,26.600819,29.529932
ENSMUSG00000001436,10.159151,17.236242,26.595842,24.240178
ENSMUSG00000001440,89.715569,62.978405,143.83707,126.848009
ENSMUSG00000001441,54.588149,53.99544199999999,99.29978700000002,116.356746
ENSMUSG00000001444,0.058697,0.172856,0.154574,0.203984
ENSMUSG00000001445,33.363913,18.856495,40.442629,36.686776
ENSMUSG00000001467,12.456309,11.124524,28.927043,28.855215
ENSMUSG00000001472,105.699402,72.418329,159.070862,172.233798
ENSMUSG00000001473,124.489088,87.716953,133.196694,105.876176
ENSMUSG00000001482,14.386865,12.305364,29.819006,28.429166
ENSMUSG00000001493,0.745437,0.33575,1.377639,1.215038
ENSMUSG00000001494,0.0,0.0,0.0,0.0
ENSMUSG00000001496,0.0,0.015933,0.028146,0.031746
ENSMUSG00000001497,0.0,0.0,0.028759,0.040697
ENSMUSG00000001504,0.018803,0.0,0.023988,0.0
ENSMUSG00000001506,338.650377,358.99083,1894.839268,2186.86067
ENSMUSG00000001507,1.688018,1.442614,5.598389,9.65298
ENSMUSG00000001508,0.497958,0.0,0.165589,0.305295
ENSMUSG00000001510,0.0,0.085095,0.0,0.0
ENSMUSG00000001517,15.339813,11.969345,36.060704,32.375395999999995
ENSMUSG00000001518,6.762085000000001,10.009258,33.373032,24.822485
ENSMUSG00000001520,3.516451,3.189817,12.730806,17.20608
ENSMUSG00000001521,15.09563,13.300673,40.029438,38.228998
ENSMUSG00000001524,22.353834,27.055631,42.350632,35.411728999999994
ENSMUSG00000001525,530.1282610000001,388.665713,631.6546310000001,549.3679930000001
ENSMUSG00000001542,6.793378000000001,4.263898,4.439134999999999,4.592627
ENSMUSG00000001552,26.705389,17.871063,29.965182,32.426032
ENSMUSG00000001555,57.116463,63.500601,267.22761799999995,274.19445900000005
ENSMUSG00000001558,0.169537,0.340493,1.061219,1.07588
ENSMUSG00000001566,0.0,0.0,0.0,0.0
ENSMUSG00000001569,9.426662,14.268204,18.986914,14.611244
ENSMUSG00000001576,73.85799800000001,57.58394,130.307691,115.363387
ENSMUSG00000001583,0.0,0.027566,0.027641,0.077836
ENSMUSG00000001588,3.0636,2.563656,2.815685,2.900035
ENSMUSG00000001604,3.07983,1.894262,2.350755,2.628097
ENSMUSG00000001622,0.824491,0.0,0.0,0.0
ENSMUSG00000001627,204.47623,143.84899,191.300031,206.046726
ENSMUSG00000001630,8.123183000000001,8.272919,24.025717,21.848662
ENSMUSG00000001632,12.58729,7.725460000000001,23.029939,22.991897
ENSMUSG00000001642,138.259895,96.763619,119.40013,95.710707
ENSMUSG00000001655,0.0,0.0,0.0,0.0
ENSMUSG00000001656,0.0,0.0,0.094635,0.0
ENSMUSG00000001657,0.135778,0.280388,0.474458,0.358942
ENSMUSG00000001661,3.163212,1.816258,10.415016,8.586181
ENSMUSG00000001663,7.775768,7.042365,22.762292,15.695917
ENSMUSG00000001665,8.448082000000001,7.19208,19.697634,24.253166
ENSMUSG00000001666,46.289895,27.68039,47.600097,39.574775
ENSMUSG00000001670,0.0,0.0,0.5686329999999999,0.263636
ENSMUSG00000001672,0.036811,0.0,0.055246,0.152241
ENSMUSG00000001674,29.554779,32.535506,45.703954,41.521598
ENSMUSG00000001687,80.102154,41.462439,70.553091,56.855321
ENSMUSG00000001700,6.732127,6.876706,15.962982,13.255781
ENSMUSG00000001707,22.677669,14.401293,33.857334,24.879851
ENSMUSG00000001729,85.05375599999999,58.952767,120.74482,117.959871
ENSMUSG00000001739,0.6839459999999999,0.426691,1.686568,1.114413
ENSMUSG00000001741,8.504951,7.504481999999999,6.580949000000001,6.902963
ENSMUSG00000001750,102.195884,91.515653,182.298818,201.124987
ENSMUSG00000001751,45.349472000000006,25.331457,61.251455,67.15616500000002
ENSMUSG00000001755,13.876992,11.129391,22.997388,25.097595
ENSMUSG00000001761,1.654449,1.262299,1.172469,0.9001560000000001
ENSMUSG00000001763,5.879988,2.316878,0.946881,1.151671
ENSMUSG00000001767,14.76627,12.933139,18.598065,14.786213
ENSMUSG00000001768,25.064811,14.67594,43.549359,33.25856
ENSMUSG00000001773,0.0,0.0,0.258314,0.136686
