,baseMean,log2FoldChange,lfcSE,pvalue,padj,FDR_corrected_pvals
Stag2,2647.82455218137,-0.245217590711925,0.112228829238605,0.0251112300444347,0.0773314053979728,0.0874954334031548
Stag3,66.3966497585038,-0.270514200521711,0.448678733286057,0.335501706559995,0.546406965196146,0.585504042588634
Stam,755.907511415292,-0.570757148734529,0.200697996893156,0.0022052474067638,0.0095497947051232,0.010807156093038879
Stam2,1473.39248635605,-0.121544781072922,0.110472437130382,0.260099548206631,0.464260756408245,0.503697842736261
Stambp,553.853613481268,-0.172546929562543,0.192486067276828,0.335279092202529,0.546169103671533,0.5852425040259756
Stambpl1,747.426311353595,-0.191753531617443,0.149229960689773,0.180580670279939,0.360870044367921,0.39838849755022815
Stamos,5.50001476358676,-0.231203219524754,0.597389122127754,0.0747946977229723,0.186716727348142,0.20992264688599463
Stap1,2799.67474980971,0.493978718955944,0.0865927342556228,6.8499998709143205e-09,6.65022642222205e-08,7.525819896468471e-08
Stap2,5.08190575202226,-0.0662102201866902,0.514635862617581,0.669619846339035,0.824118333658745,0.8524234896903894
Star,46.7100145900542,-0.125599351833352,0.395685713489228,0.640730173528313,0.805173313223709,0.8337725372232377
Stard10,21.5429109968043,-0.0456394573130014,0.461437250963767,0.843995082384248,0.927835612302071,0.942497195272648
Stard13,7.02645325910397,0.0683545367577826,0.520765531515082,0.631058246049486,0.798980755995926,0.8282538382780604
Stard3,1578.84381066461,-0.251966631577047,0.127639572277901,0.0408283276603727,0.115300046166187,0.13033571092174603
Stard3nl,1580.14115193721,-0.263754969650741,0.122595101744244,0.0260625612351694,0.0797124535727044,0.0901895586381259
Stard4,1375.19529302899,-0.4176055047929,0.137349714778267,0.0015880850570634,0.0071162114795599,0.008053158274640204
Stard5,1318.44564394973,1.24467065124,0.121314777684087,1.75845872047762e-25,4.44375955392458e-24,5.028841417233008e-24
Stard6,23.5883107795799,-0.178869222009483,0.470412754394863,0.483072313845203,0.685730998462916,0.7224264207052654
Stard7,2419.34821906565,0.611015192292476,0.107665338520334,7.1783890207116e-09,6.95572179440036e-08,7.871537922329357e-08
Stard8,1353.23465631534,-0.88818461752203,0.118220627794314,1.5827577684304102e-14,2.36295328077839e-13,2.674068473140132e-13
Stard9,1471.92314106346,-0.311413605943061,0.131526985325983,0.0143069210751614,0.0480890831454773,0.05442067017896126
Stat1,4543.14058621927,-0.702071666599359,0.0718556411986426,6.56675440413186e-23,1.48000051481567e-21,1.674862871430135e-21
Stat2,3001.40040612988,-0.8270614615117,0.0950728714398679,1.02772046211868e-18,1.9302112827421602e-17,2.1843500587450855e-17
Stat3,4081.04027303136,0.512597900409262,0.108560868305833,1.36283262066043e-06,1.03302305222258e-05,1.169034698420028e-05
Stat4,287.483963220244,0.04523825493683,0.212645694248732,0.818237581480942,0.913519861926818,0.9296875513068941
Stat5a,678.776765479472,-0.0145879614582928,0.151398191767145,0.917573507947585,0.962759209352825,0.9712829262681765
Stat5b,1595.79294759069,-0.0765789522883113,0.109636017782289,0.475753918713847,0.680037993553863,0.7173516994982689
Stat6,6926.3115284153,-0.308818617967018,0.0685703728495645,5.47054947718396e-06,3.80189443565097e-05,4.3024659570214275e-05
Stau1,1383.03963987219,0.290552342930514,0.115692667993802,0.0100180601232043,0.0353853607277238,0.04004432855376949
Stau2,351.365602199472,-0.335508985154668,0.211866479908895,0.0833462763067454,0.203070641883128,0.22816358264599534
