,baseMean,log2FoldChange,lfcSE,pvalue,padj,FDR_corrected_pvals
Gm16299,2.73203365741248,-0.0197078806177216,0.257775264341492,0.623293552537023,,0.8559410180941804
Gm16310,5.67015052531216,-0.0048592644824494,0.25648391887158,0.903691967707925,0.962997101778398,0.9727456142351002
Gm16323,2.47527784551195,0.013012556039034,0.257057426788941,0.751581306054563,,0.9144959135404427
Gm16334,1.66271451308429,-0.0099525559539399,0.25904941456889,0.685245960664032,,0.8870975974710973
Gm16335,1.35166348461171,0.0008701923401803,0.25800969179532,0.966638324185142,,0.992284949330528
Gm16344,157.502257691538,0.185864393479907,0.227603969661449,0.197886269039505,0.512861145759843,0.5674432109650185
Gm16348,20.4397424240222,-0.164932450360675,0.296985083362872,0.152656609228071,0.456333461458979,0.5110992118955903
Gm16350,3.47224984825933,-0.0147472990041091,0.257124977498063,0.711876702083361,,0.8968249536381189
Gm16353,1.35556868157033,0.0027516944373737,0.258423925080931,0.917884815670348,,0.9783712702429406
Gm16363,2.81741149800092,0.0363004574252501,0.262166280586835,0.211060685899302,,0.5794273230072248
Gm16364,2.20195678191319,-0.0323625158125661,0.259358094667195,0.44486510847489,,0.7537630175375523
Gm16365,5.79014562204569,-0.0689305390392104,0.269787747411084,0.123283957802621,0.42049770036853,0.47591114882539376
Gm16374,1.53619325423798,-0.0268539521564511,0.259003693633924,0.489134112275149,,0.7808315696069317
Gm16386,17.5549366996233,-0.119460279608357,0.273062378079532,0.236449117811326,0.552575757602088,0.605837117485467
Gm16464,1.32811905380164,0.0069758026732609,0.258428303990564,0.8077587228955,,0.9366206916507783
Gm16477,1.61333806491994,0.0157583275565338,0.25944098553741,0.522999804133933,,0.8007855434345323
Gm16485,2.92850296593214,0.0503000893727871,0.263773741347398,0.22704530493326,,0.59685286552404
Gm16503,1.98547103349836,0.0106687577622752,0.25705049643187,0.788089100885129,,0.9290982850207481
Gm16505,17.2171712985247,0.308405268586818,0.580167837047576,0.0104958770736238,0.146503344023434,0.17429075391267893
Gm16523,1.28124098067035,-0.02183270452949,0.260589491012566,0.441156100674376,,0.7520495440160302
Gm16534,14.0881675706843,0.130858847407279,0.291079258742265,0.133142509127608,0.432104328998709,0.486740291671329
Gm16536,149.269986620262,0.107667375269878,0.196158061715762,0.427351621386226,0.702281565269185,0.7428426250844559
Gm16537,3.36998015695031,-0.0320298210548471,0.259100754819625,0.455647744883701,,0.7614946281872469
Gm16540,1.22160074077835,0.0017834313813533,0.258284508951878,0.952992887287675,,0.9907862958227082
Gm16565,3.20393135037139,0.0615285942899788,0.268982132294676,0.0565034543046255,,0.35497803390117816
Gm16567,2.38618357580261,0.0151334536070734,0.260401153770135,0.182416305544957,,0.5487168449450474
Gm16568,26.7217783488504,-0.0119016362318138,0.250374875334906,0.85862987968102,0.944441336743866,0.9566396179197805
Gm16574,20.2704520232709,0.0529264131919718,0.259282615065728,0.407124859809865,0.688866839558623,0.7304576588748078
Gm16576,156.47474607567,-0.266393645100762,0.379609668881745,0.0665434037241241,0.328900729169159,0.3791262955677898
Gm16577,2.28413086132234,-0.0284377057336807,0.260234603577237,0.375947703864862,,0.7111615113865133
Gm16580,3.65785589551813,-0.0228499529262121,0.257197603371499,0.616816984754509,,0.8531791158320043
Gm16588,8.42513865436157,-0.0355048332400886,0.252516302853525,0.615474698871335,0.822328565909756,0.8531791158320043
Gm16617,12.0300840902543,0.023497242583895,0.254582209107212,0.685415180205239,0.861128964919724,0.8870975974710973
Gm16618,4.47772018843722,0.0475728780001478,0.259446500249382,0.40562099824572,0.687948789349251,0.7298946407872137
Gm16630,2.83591961436505,-0.020403267129998,0.257063624338111,0.640943202541847,,0.8639848473170129
Gm16638,45.4570583434884,0.156432218513881,0.283737767617533,0.189875809424849,0.501846289282666,0.5566954992341296
Gm16675,14.8241157027194,0.349107737681269,0.645113922978501,0.0168139109714541,0.183086851843316,0.2167067782842753
Gm16677,3.32247805040846,0.0057109289217226,0.258108289704987,0.849104034590525,,0.953710079738341
Gm16685,6.71723625445984,0.0286403120156567,0.256509160417925,0.588384646000007,0.806843941501768,0.8392364205913041
Gm16702,56.2853713980087,0.453629626861904,0.86512371392732,0.0164811104341671,0.181428856635306,0.2146851802852644
Gm16712,5.4571515579376,0.0007955606291882,0.252548113898631,0.991457771758479,0.996677277400153,0.9974128140738588
Gm16725,0.955593162135387,0.0181207531876294,0.260175119477561,0.53511691804247,,0.8081945121365912
Gm1673,3.64071145854217,0.0140384691538494,0.254445139103978,0.796359952487428,,0.9325987628206618
Gm16740,31.7260394224999,0.233359088250117,0.350327807934064,0.0827623707359891,0.356843875044465,0.4090551691082452
Gm16741,1.35971560858939,0.0387412489241575,0.262444216062767,0.208201919925967,,0.5778693701684259
Gm16751,1.05370632326411,0.0097814454688534,0.259217743006877,0.65130091108688,,0.8687263396999091
Gm16754,43.4640407358072,0.0792707655832067,0.249054118003619,0.444104525493733,0.7140427772292,0.7534462747921039
Gm16755,30.2923663475568,0.436019158989321,0.533450591584143,0.0287565158789947,0.232817176635707,0.273121663745461
Gm16759,27.8779799767199,0.172904456364359,0.303496835144175,0.138323287635642,0.438973225473053,0.49386344534826776
Gm16793,7.68877690921152,0.0247497314758943,0.255472719909143,0.653814352875179,0.842281351857295,0.8698924603242323
Gm16794,32.3326130342321,0.0885533633719476,0.232448818024786,0.471284890644915,0.73286923400197,0.7701933496658604
