gene,IRRP1,IRRP2,IRRP3,RP1,RP2,RP3,V1,V2,V3
ENSMUSG00000001419,931,2393,2449,3252,3540,3233,1712,4368,2915
ENSMUSG00000001420,17,33,59,35,39,30,71,28,35
ENSMUSG00000001424,2755,3579,3492,4328,5657,4617,4199,5368,4791
ENSMUSG00000001435,558,1631,1387,2288,1914,2464,1960,1359,1484
ENSMUSG00000001436,1007,1110,1301,1555,1536,1623,864,1216,1012
ENSMUSG00000001440,4714,11535,11651,17475,15432,17155,11791,16157,13261
ENSMUSG00000001441,1007,2248,2376,4122,3610,4033,2716,4198,3383
ENSMUSG00000001444,0,4,17,1,14,11,4,0,0
ENSMUSG00000001445,1325,891,1104,1010,1230,1054,1298,1630,1255
ENSMUSG00000001467,1554,2315,2035,1430,1374,1443,1704,3464,2308
ENSMUSG00000001472,3738,6086,6193,5060,8937,5962,5478,5549,4816
ENSMUSG00000001473,3359,4829,5307,1932,3121,2388,5195,5969,5132
ENSMUSG00000001482,431,1229,1212,983,1780,1166,1341,1330,1313
ENSMUSG00000001493,6,16,12,7,33,20,7,14,5
ENSMUSG00000001494,0,10,11,1,7,4,32,11,10
ENSMUSG00000001496,0,1,4,1,1,0,0,0,0
ENSMUSG00000001497,0,0,0,0,0,0,0,0,0
ENSMUSG00000001504,0,0,0,1,6,11,0,0,0
ENSMUSG00000001506,13000,46169,45131,54417,74435,59518,44100,43435,37314
ENSMUSG00000001507,259,592,517,605,896,489,698,388,375
ENSMUSG00000001508,0,0,1,1,4,0,0,1,2
ENSMUSG00000001510,2,3,0,0,0,1,0,0,0
ENSMUSG00000001517,670,2768,2745,2594,3986,3186,2389,3262,2467
ENSMUSG00000001518,273,575,619,365,751,560,474,324,371
ENSMUSG00000001520,140,303,294,108,313,216,179,197,168
ENSMUSG00000001521,561,1460,1491,1141,2464,1473,1184,1830,1346
ENSMUSG00000001524,1869,783,763,965,936,1160,727,928,744
ENSMUSG00000001525,20535,32317,32142,36489,30579,35820,34048,32196,28845
ENSMUSG00000001542,68,211,424,264,198,224,159,132,204
ENSMUSG00000001552,318,596,965,580,1102,869,571,327,409
ENSMUSG00000001555,3163,4038,4021,4795,4757,4600,4391,4611,4101
